chae_id,gaia_a,gaia_b,d_M_pc,vr_kms,vr_sigma_kms,vobs_over_vesc,vobs_vesc_err,mass_a,mass_b,rv_source,merits
1,2642922251741817216,2642922286101533952,56.01,-0.156,0.04,0.33,0.09,0.548,0.528,APOGEE,4
3,3861880665230888960,3858878375716469120,131.31,0.386,0.051,1.16,0.09,1.301,0.922,APOGEE,4
4,315289980082496000,315289980082496256,82.89,-0.869,0.061,1.17,0.08,0.73,0.389,APOGEE,4
5,2627346157705716352,2627346535662838272,147.7,0.145,0.057,0.53,0.08,0.873,0.654,APOGEE,4
6,2581807955200716800,2581806619466249728,145.88,-0.011,0.072,1.26,0.1,0.764,0.45,APOGEE,4
16,1240752559313435520,1240752559313476224,108.2,0.004,0.072,0.66,0.07,0.777,0.379,APOGEE,4
20,694284491350980864,694284628789933568,37.84,-0.276,0.1,0.66,0.12,0.636,0.318,APOGEE,4
23,972821779152541824,972815560039899264,113.05,-0.16,0.048,0.65,0.15,0.601,0.546,APOGEE,4
24,1172915990414659328,1172920487244742912,53.42,0.043,0.033,0.39,0.05,0.885,0.852,APOGEE,"1,2,4,5"
26,3749791158495959552,3749791055416743552,69.89,0.383,0.073,0.54,0.11,0.92,0.9,LCO,2
27,1282815063829295360,1282817022334383232,55.0,-0.283,0.041,0.75,0.11,1.03,1.0,LCO,"1,2,5,6"
28,3793107930900527616,3793106419072038272,86.0,0.26,0.094,0.62,0.22,1.22,1.03,LCO,2
30,3170300942420466176,3170394607068638336,121.69,-0.055,0.058,0.47,0.08,1.04,1.01,LCO,2
31,5651775953326498688,5651752515687994368,55.09,-0.119,0.081,0.36,0.08,0.96,0.8,LCO,2
32,5741345125461459200,5741344919302959360,105.03,-0.327,0.042,0.94,0.07,1.04,0.97,LCO,"1,2"
33,3116331104937277952,3116324881524878208,73.86,-0.345,0.06,1.2,0.16,1.26,0.84,LCO,2
34,3230677565443833088,3230677874682668672,63.74,-0.076,0.057,0.37,0.08,1.16,1.15,LCO,"2,5"
36,1967283042361454848,1967282939282261120,82.84,-0.561,0.082,0.96,0.11,1.04,0.84,LCO,1
39,1938247517245907456,1938247654684985216,59.47,-0.055,0.046,0.88,0.04,1.05,0.97,LCO,6
42,3550081879381593728,3550084490721711872,33.55,-0.595,0.082,1.09,0.14,0.82,0.7,LCO,5
50,4599984642025088128,4599984504586131456,69.75,0.086,0.062,0.51,0.09,0.99,0.88,LCO,1
51,4430185068482324864,4430185034123000960,100.24,-0.025,0.072,0.48,0.1,0.96,0.99,LCO,1
53,2776055105362407680,2776054899203977728,108.61,-0.468,0.017,0.93,0.06,1.2,1.0,HARPS,"3,5"
54,4940794866807373952,4940794488850252928,116.26,0.449,0.004,0.9,0.02,1.18,1.15,HARPS,"2,3,5"
55,4722135642226902656,4722111590409480064,12.04,-0.464,0.028,0.7,0.04,,,HARPS,3
56,5060104351007433472,5060105897197110144,35.9,-0.254,0.035,0.65,0.12,0.96,0.88,HARPS,"3,5"
57,4666907551119833984,4666907516760096512,55.0,-0.197,0.013,0.45,0.08,,,HARPS,3
58,5607190344506642432,5607189485513198208,38.08,-0.08,0.003,0.35,0.04,1.15,0.88,HARPS,"3,5"
59,4235732073427592704,4235731867269159680,100.27,-0.861,0.015,1.12,0.03,,,HARPS,3
60,6458951765971500672,6458952345790198144,44.3,0.064,0.012,0.45,0.12,,,HARPS,3
61,2201661297490051968,2201661091331626752,107.5,-0.018,0.006,0.62,0.07,1.02,0.999,MAROON-X,5
62,1871558941576158464,1871559697490418816,92.44,-0.024,0.009,0.35,0.07,0.791,0.771,MAROON-X,1
65,4230699363889120128,4230699329529382400,79.48,-0.278,0.022,0.79,0.07,1.091,0.878,MAROON-X,1
66,3400292798990117888,3394298532176344960,14.54,-0.253,0.052,0.61,0.11,1.135,0.738,Scarpa,6
69,1440518669436791296,1440425863783337856,45.59,-0.442,0.034,0.78,0.07,1.094,0.97,Scarpa,6
75,2882262637207289216,2882262529831237120,40.92,0.747,0.021,0.92,0.03,1.041,0.973,Scarpa,6
